item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos
35,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,identified,himself,The boys that the man liked identified himself . <eos>,The boys that the man liked identified himself .
35,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,identified,himself,The men that the boy liked identified himself . <eos>,The men that the boy liked identified himself .
35,simple,local,c-command,1,a,rc_subj,number,boy,men,identified,himself,The boy that the men liked identified himself . <eos>,The boy that the men liked identified himself .
35,simple,local,c-command,1,b,rc_subj,number,man,boys,identified,himself,The man that the boys liked identified himself . <eos>,The man that the boys liked identified himself .
36,simple,local,c-command,1,a,none,none,boy,man,made,himself,The boy that the man liked made himself . <eos>,The boy that the man liked made himself .
36,simple,local,c-command,1,b,none,none,man,boy,made,himself,The man that the boy liked made himself . <eos>,The man that the boy liked made himself .
36,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,made,himself,The boys that the man liked made himself . <eos>,The boys that the man liked made himself .
36,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,made,himself,The men that the boy liked made himself . <eos>,The men that the boy liked made himself .
36,simple,local,c-command,1,a,rc_subj,number,boy,men,made,himself,The boy that the men liked made himself . <eos>,The boy that the men liked made himself .
36,simple,local,c-command,1,b,rc_subj,number,man,boys,made,himself,The man that the boys liked made himself . <eos>,The man that the boys liked made himself .
37,simple,local,c-command,1,a,none,none,boy,man,found,himself,The boy that the man liked found himself . <eos>,The boy that the man liked found himself .
37,simple,local,c-command,1,b,none,none,man,boy,found,himself,The man that the boy liked found himself . <eos>,The man that the boy liked found himself .
37,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,found,himself,The boys that the man liked found himself . <eos>,The boys that the man liked found himself .
37,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,found,himself,The men that the boy liked found himself . <eos>,The men that the boy liked found himself .
37,simple,local,c-command,1,a,rc_subj,number,boy,men,found,himself,The boy that the men liked found himself . <eos>,The boy that the men liked found himself .
37,simple,local,c-command,1,b,rc_subj,number,man,boys,found,himself,The man that the boys liked found himself . <eos>,The man that the boys liked found himself .
38,simple,local,c-command,1,a,none,none,boy,man,distinguished,himself,The boy that the man liked distinguished himself . <eos>,The boy that the man liked distinguished himself .
38,simple,local,c-command,1,b,none,none,man,boy,distinguished,himself,The man that the boy liked distinguished himself . <eos>,The man that the boy liked distinguished himself .
38,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,distinguished,himself,The boys that the man liked distinguished himself . <eos>,The boys that the man liked distinguished himself .
38,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,distinguished,himself,The men that the boy liked distinguished himself . <eos>,The men that the boy liked distinguished himself .
38,simple,local,c-command,1,a,rc_subj,number,boy,men,distinguished,himself,The boy that the men liked distinguished himself . <eos>,The boy that the men liked distinguished himself .
38,simple,local,c-command,1,b,rc_subj,number,man,boys,distinguished,himself,The man that the boys liked distinguished himself . <eos>,The man that the boys liked distinguished himself .
39,simple,local,c-command,1,a,none,none,boy,man,taught,himself,The boy that the man liked taught himself . <eos>,The boy that the man liked taught himself .
39,simple,local,c-command,1,b,none,none,man,boy,taught,himself,The man that the boy liked taught himself . <eos>,The man that the boy liked taught himself .
39,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,taught,himself,The boys that the man liked taught himself . <eos>,The boys that the man liked taught himself .
39,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,taught,himself,The men that the boy liked taught himself . <eos>,The men that the boy liked taught himself .
39,simple,local,c-command,1,a,rc_subj,number,boy,men,taught,himself,The boy that the men liked taught himself . <eos>,The boy that the men liked taught himself .
39,simple,local,c-command,1,b,rc_subj,number,man,boys,taught,himself,The man that the boys liked taught himself . <eos>,The man that the boys liked taught himself .
40,simple,local,c-command,1,a,none,none,boy,man,killed,himself,The boy that the man liked killed himself . <eos>,The boy that the man liked killed himself .
40,simple,local,c-command,1,b,none,none,man,boy,killed,himself,The man that the boy liked killed himself . <eos>,The man that the boy liked killed himself .
40,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,killed,himself,The boys that the man liked killed himself . <eos>,The boys that the man liked killed himself .
40,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,killed,himself,The men that the boy liked killed himself . <eos>,The men that the boy liked killed himself .
40,simple,local,c-command,1,a,rc_subj,number,boy,men,killed,himself,The boy that the men liked killed himself . <eos>,The boy that the men liked killed himself .
40,simple,local,c-command,1,b,rc_subj,number,man,boys,killed,himself,The man that the boys liked killed himself . <eos>,The man that the boys liked killed himself .
41,simple,local,c-command,1,a,none,none,boy,man,called,himself,The boy that the man liked called himself . <eos>,The boy that the man liked called himself .
41,simple,local,c-command,1,b,none,none,man,boy,called,himself,The man that the boy liked called himself . <eos>,The man that the boy liked called himself .
41,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,called,himself,The boys that the man liked called himself . <eos>,The boys that the man liked called himself .
41,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,called,himself,The men that the boy liked called himself . <eos>,The men that the boy liked called himself .
41,simple,local,c-command,1,a,rc_subj,number,boy,men,called,himself,The boy that the men liked called himself . <eos>,The boy that the men liked called himself .
41,simple,local,c-command,1,b,rc_subj,number,man,boys,called,himself,The man that the boys liked called himself . <eos>,The man that the boys liked called himself .
42,simple,local,c-command,1,a,none,none,boy,man,dedicated,himself,The boy that the man liked dedicated himself . <eos>,The boy that the man liked dedicated himself .
42,simple,local,c-command,1,b,none,none,man,boy,dedicated,himself,The man that the boy liked dedicated himself . <eos>,The man that the boy liked dedicated himself .
42,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,dedicated,himself,The boys that the man liked dedicated himself . <eos>,The boys that the man liked dedicated himself .
42,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,dedicated,himself,The men that the boy liked dedicated himself . <eos>,The men that the boy liked dedicated himself .
42,simple,local,c-command,1,a,rc_subj,number,boy,men,dedicated,himself,The boy that the men liked dedicated himself . <eos>,The boy that the men liked dedicated himself .
42,simple,local,c-command,1,b,rc_subj,number,man,boys,dedicated,himself,The man that the boys liked dedicated himself . <eos>,The man that the boys liked dedicated himself .
43,simple,local,c-command,1,a,none,none,boy,man,declared,himself,The boy that the man liked declared himself . <eos>,The boy that the man liked declared himself .
43,simple,local,c-command,1,b,none,none,man,boy,declared,himself,The man that the boy liked declared himself . <eos>,The man that the boy liked declared himself .
43,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,declared,himself,The boys that the man liked declared himself . <eos>,The boys that the man liked declared himself .
43,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,declared,himself,The men that the boy liked declared himself . <eos>,The men that the boy liked declared himself .
43,simple,local,c-command,1,a,rc_subj,number,boy,men,declared,himself,The boy that the men liked declared himself . <eos>,The boy that the men liked declared himself .
43,simple,local,c-command,1,b,rc_subj,number,man,boys,declared,himself,The man that the boys liked declared himself . <eos>,The man that the boys liked declared himself .
44,simple,local,c-command,1,a,none,none,boy,man,proved,himself,The boy that the man liked proved himself . <eos>,The boy that the man liked proved himself .
44,simple,local,c-command,1,b,none,none,man,boy,proved,himself,The man that the boy liked proved himself . <eos>,The man that the boy liked proved himself .
44,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,proved,himself,The boys that the man liked proved himself . <eos>,The boys that the man liked proved himself .
44,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,proved,himself,The men that the boy liked proved himself . <eos>,The men that the boy liked proved himself .
44,simple,local,c-command,1,a,rc_subj,number,boy,men,proved,himself,The boy that the men liked proved himself . <eos>,The boy that the men liked proved himself .
44,simple,local,c-command,1,b,rc_subj,number,man,boys,proved,himself,The man that the boys liked proved himself . <eos>,The man that the boys liked proved himself .
45,simple,local,c-command,1,a,none,none,boy,man,shot,himself,The boy that the man liked shot himself . <eos>,The boy that the man liked shot himself .
45,simple,local,c-command,1,b,none,none,man,boy,shot,himself,The man that the boy liked shot himself . <eos>,The man that the boy liked shot himself .
45,simple,local,no-c-command,0,a,matrix_subj,number,boys,man,shot,himself,The boys that the man liked shot himself . <eos>,The boys that the man liked shot himself .
45,simple,local,no-c-command,0,b,matrix_subj,number,men,boy,shot,himself,The men that the boy liked shot himself . <eos>,The men that the boy liked shot himself .
45,simple,local,c-command,1,a,rc_subj,number,boy,men,shot,himself,The boy that the men liked shot himself . <eos>,The boy that the men liked shot himself .
45,simple,local,c-command,1,b,rc_subj,number,man,boys,shot,himself,The man that the boys liked shot himself . <eos>,The man that the boys liked shot himself .
46,simple,local,c-command,1,a,none,none,boy,actor,saw,himself,The boy that the actor liked saw himself . <eos>,The boy that the actor liked saw himself .
46,simple,local,c-command,1,b,none,none,actor,boy,saw,himself,The actor that the boy liked saw himself . <eos>,The actor that the boy liked saw himself .
46,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,saw,himself,The boys that the actor liked saw himself . <eos>,The boys that the actor liked saw himself .
46,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,saw,himself,The actors that the boy liked saw himself . <eos>,The actors that the boy liked saw himself .
46,simple,local,c-command,1,a,rc_subj,number,boy,actors,saw,himself,The boy that the actors liked saw himself . <eos>,The boy that the actors liked saw himself .
46,simple,local,c-command,1,b,rc_subj,number,actor,boys,saw,himself,The actor that the boys liked saw himself . <eos>,The actor that the boys liked saw himself .
47,simple,local,c-command,1,a,none,none,boy,actor,established,himself,The boy that the actor liked established himself . <eos>,The boy that the actor liked established himself .
47,simple,local,c-command,1,b,none,none,actor,boy,established,himself,The actor that the boy liked established himself . <eos>,The actor that the boy liked established himself .
47,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,established,himself,The boys that the actor liked established himself . <eos>,The boys that the actor liked established himself .
47,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,established,himself,The actors that the boy liked established himself . <eos>,The actors that the boy liked established himself .
47,simple,local,c-command,1,a,rc_subj,number,boy,actors,established,himself,The boy that the actors liked established himself . <eos>,The boy that the actors liked established himself .
47,simple,local,c-command,1,b,rc_subj,number,actor,boys,established,himself,The actor that the boys liked established himself . <eos>,The actor that the boys liked established himself .
48,simple,local,c-command,1,a,none,none,boy,actor,devoted,himself,The boy that the actor liked devoted himself . <eos>,The boy that the actor liked devoted himself .
48,simple,local,c-command,1,b,none,none,actor,boy,devoted,himself,The actor that the boy liked devoted himself . <eos>,The actor that the boy liked devoted himself .
48,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,devoted,himself,The boys that the actor liked devoted himself . <eos>,The boys that the actor liked devoted himself .
48,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,devoted,himself,The actors that the boy liked devoted himself . <eos>,The actors that the boy liked devoted himself .
48,simple,local,c-command,1,a,rc_subj,number,boy,actors,devoted,himself,The boy that the actors liked devoted himself . <eos>,The boy that the actors liked devoted himself .
48,simple,local,c-command,1,b,rc_subj,number,actor,boys,devoted,himself,The actor that the boys liked devoted himself . <eos>,The actor that the boys liked devoted himself .
49,simple,local,c-command,1,a,none,none,boy,actor,considered,himself,The boy that the actor liked considered himself . <eos>,The boy that the actor liked considered himself .
49,simple,local,c-command,1,b,none,none,actor,boy,considered,himself,The actor that the boy liked considered himself . <eos>,The actor that the boy liked considered himself .
49,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,considered,himself,The boys that the actor liked considered himself . <eos>,The boys that the actor liked considered himself .
49,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,considered,himself,The actors that the boy liked considered himself . <eos>,The actors that the boy liked considered himself .
49,simple,local,c-command,1,a,rc_subj,number,boy,actors,considered,himself,The boy that the actors liked considered himself . <eos>,The boy that the actors liked considered himself .
49,simple,local,c-command,1,b,rc_subj,number,actor,boys,considered,himself,The actor that the boys liked considered himself . <eos>,The actor that the boys liked considered himself .
50,simple,local,c-command,1,a,none,none,boy,actor,identified,himself,The boy that the actor liked identified himself . <eos>,The boy that the actor liked identified himself .
50,simple,local,c-command,1,b,none,none,actor,boy,identified,himself,The actor that the boy liked identified himself . <eos>,The actor that the boy liked identified himself .
50,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,identified,himself,The boys that the actor liked identified himself . <eos>,The boys that the actor liked identified himself .
50,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,identified,himself,The actors that the boy liked identified himself . <eos>,The actors that the boy liked identified himself .
50,simple,local,c-command,1,a,rc_subj,number,boy,actors,identified,himself,The boy that the actors liked identified himself . <eos>,The boy that the actors liked identified himself .
50,simple,local,c-command,1,b,rc_subj,number,actor,boys,identified,himself,The actor that the boys liked identified himself . <eos>,The actor that the boys liked identified himself .
51,simple,local,c-command,1,a,none,none,boy,actor,made,himself,The boy that the actor liked made himself . <eos>,The boy that the actor liked made himself .
51,simple,local,c-command,1,b,none,none,actor,boy,made,himself,The actor that the boy liked made himself . <eos>,The actor that the boy liked made himself .
51,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,made,himself,The boys that the actor liked made himself . <eos>,The boys that the actor liked made himself .
51,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,made,himself,The actors that the boy liked made himself . <eos>,The actors that the boy liked made himself .
51,simple,local,c-command,1,a,rc_subj,number,boy,actors,made,himself,The boy that the actors liked made himself . <eos>,The boy that the actors liked made himself .
51,simple,local,c-command,1,b,rc_subj,number,actor,boys,made,himself,The actor that the boys liked made himself . <eos>,The actor that the boys liked made himself .
52,simple,local,c-command,1,a,none,none,boy,actor,found,himself,The boy that the actor liked found himself . <eos>,The boy that the actor liked found himself .
52,simple,local,c-command,1,b,none,none,actor,boy,found,himself,The actor that the boy liked found himself . <eos>,The actor that the boy liked found himself .
52,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,found,himself,The boys that the actor liked found himself . <eos>,The boys that the actor liked found himself .
52,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,found,himself,The actors that the boy liked found himself . <eos>,The actors that the boy liked found himself .
52,simple,local,c-command,1,a,rc_subj,number,boy,actors,found,himself,The boy that the actors liked found himself . <eos>,The boy that the actors liked found himself .
52,simple,local,c-command,1,b,rc_subj,number,actor,boys,found,himself,The actor that the boys liked found himself . <eos>,The actor that the boys liked found himself .
53,simple,local,c-command,1,a,none,none,boy,actor,distinguished,himself,The boy that the actor liked distinguished himself . <eos>,The boy that the actor liked distinguished himself .
53,simple,local,c-command,1,b,none,none,actor,boy,distinguished,himself,The actor that the boy liked distinguished himself . <eos>,The actor that the boy liked distinguished himself .
53,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,distinguished,himself,The boys that the actor liked distinguished himself . <eos>,The boys that the actor liked distinguished himself .
53,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,distinguished,himself,The actors that the boy liked distinguished himself . <eos>,The actors that the boy liked distinguished himself .
53,simple,local,c-command,1,a,rc_subj,number,boy,actors,distinguished,himself,The boy that the actors liked distinguished himself . <eos>,The boy that the actors liked distinguished himself .
53,simple,local,c-command,1,b,rc_subj,number,actor,boys,distinguished,himself,The actor that the boys liked distinguished himself . <eos>,The actor that the boys liked distinguished himself .
54,simple,local,c-command,1,a,none,none,boy,actor,taught,himself,The boy that the actor liked taught himself . <eos>,The boy that the actor liked taught himself .
54,simple,local,c-command,1,b,none,none,actor,boy,taught,himself,The actor that the boy liked taught himself . <eos>,The actor that the boy liked taught himself .
54,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,taught,himself,The boys that the actor liked taught himself . <eos>,The boys that the actor liked taught himself .
54,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,taught,himself,The actors that the boy liked taught himself . <eos>,The actors that the boy liked taught himself .
54,simple,local,c-command,1,a,rc_subj,number,boy,actors,taught,himself,The boy that the actors liked taught himself . <eos>,The boy that the actors liked taught himself .
54,simple,local,c-command,1,b,rc_subj,number,actor,boys,taught,himself,The actor that the boys liked taught himself . <eos>,The actor that the boys liked taught himself .
55,simple,local,c-command,1,a,none,none,boy,actor,killed,himself,The boy that the actor liked killed himself . <eos>,The boy that the actor liked killed himself .
55,simple,local,c-command,1,b,none,none,actor,boy,killed,himself,The actor that the boy liked killed himself . <eos>,The actor that the boy liked killed himself .
55,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,killed,himself,The boys that the actor liked killed himself . <eos>,The boys that the actor liked killed himself .
55,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,killed,himself,The actors that the boy liked killed himself . <eos>,The actors that the boy liked killed himself .
55,simple,local,c-command,1,a,rc_subj,number,boy,actors,killed,himself,The boy that the actors liked killed himself . <eos>,The boy that the actors liked killed himself .
55,simple,local,c-command,1,b,rc_subj,number,actor,boys,killed,himself,The actor that the boys liked killed himself . <eos>,The actor that the boys liked killed himself .
56,simple,local,c-command,1,a,none,none,boy,actor,called,himself,The boy that the actor liked called himself . <eos>,The boy that the actor liked called himself .
56,simple,local,c-command,1,b,none,none,actor,boy,called,himself,The actor that the boy liked called himself . <eos>,The actor that the boy liked called himself .
56,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,called,himself,The boys that the actor liked called himself . <eos>,The boys that the actor liked called himself .
56,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,called,himself,The actors that the boy liked called himself . <eos>,The actors that the boy liked called himself .
56,simple,local,c-command,1,a,rc_subj,number,boy,actors,called,himself,The boy that the actors liked called himself . <eos>,The boy that the actors liked called himself .
56,simple,local,c-command,1,b,rc_subj,number,actor,boys,called,himself,The actor that the boys liked called himself . <eos>,The actor that the boys liked called himself .
57,simple,local,c-command,1,a,none,none,boy,actor,dedicated,himself,The boy that the actor liked dedicated himself . <eos>,The boy that the actor liked dedicated himself .
57,simple,local,c-command,1,b,none,none,actor,boy,dedicated,himself,The actor that the boy liked dedicated himself . <eos>,The actor that the boy liked dedicated himself .
57,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,dedicated,himself,The boys that the actor liked dedicated himself . <eos>,The boys that the actor liked dedicated himself .
57,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,dedicated,himself,The actors that the boy liked dedicated himself . <eos>,The actors that the boy liked dedicated himself .
57,simple,local,c-command,1,a,rc_subj,number,boy,actors,dedicated,himself,The boy that the actors liked dedicated himself . <eos>,The boy that the actors liked dedicated himself .
57,simple,local,c-command,1,b,rc_subj,number,actor,boys,dedicated,himself,The actor that the boys liked dedicated himself . <eos>,The actor that the boys liked dedicated himself .
58,simple,local,c-command,1,a,none,none,boy,actor,declared,himself,The boy that the actor liked declared himself . <eos>,The boy that the actor liked declared himself .
58,simple,local,c-command,1,b,none,none,actor,boy,declared,himself,The actor that the boy liked declared himself . <eos>,The actor that the boy liked declared himself .
58,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,declared,himself,The boys that the actor liked declared himself . <eos>,The boys that the actor liked declared himself .
58,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,declared,himself,The actors that the boy liked declared himself . <eos>,The actors that the boy liked declared himself .
58,simple,local,c-command,1,a,rc_subj,number,boy,actors,declared,himself,The boy that the actors liked declared himself . <eos>,The boy that the actors liked declared himself .
58,simple,local,c-command,1,b,rc_subj,number,actor,boys,declared,himself,The actor that the boys liked declared himself . <eos>,The actor that the boys liked declared himself .
59,simple,local,c-command,1,a,none,none,boy,actor,proved,himself,The boy that the actor liked proved himself . <eos>,The boy that the actor liked proved himself .
59,simple,local,c-command,1,b,none,none,actor,boy,proved,himself,The actor that the boy liked proved himself . <eos>,The actor that the boy liked proved himself .
59,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,proved,himself,The boys that the actor liked proved himself . <eos>,The boys that the actor liked proved himself .
59,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,proved,himself,The actors that the boy liked proved himself . <eos>,The actors that the boy liked proved himself .
59,simple,local,c-command,1,a,rc_subj,number,boy,actors,proved,himself,The boy that the actors liked proved himself . <eos>,The boy that the actors liked proved himself .
59,simple,local,c-command,1,b,rc_subj,number,actor,boys,proved,himself,The actor that the boys liked proved himself . <eos>,The actor that the boys liked proved himself .
60,simple,local,c-command,1,a,none,none,boy,actor,shot,himself,The boy that the actor liked shot himself . <eos>,The boy that the actor liked shot himself .
60,simple,local,c-command,1,b,none,none,actor,boy,shot,himself,The actor that the boy liked shot himself . <eos>,The actor that the boy liked shot himself .
60,simple,local,no-c-command,0,a,matrix_subj,number,boys,actor,shot,himself,The boys that the actor liked shot himself . <eos>,The boys that the actor liked shot himself .
60,simple,local,no-c-command,0,b,matrix_subj,number,actors,boy,shot,himself,The actors that the boy liked shot himself . <eos>,The actors that the boy liked shot himself .
60,simple,local,c-command,1,a,rc_subj,number,boy,actors,shot,himself,The boy that the actors liked shot himself . <eos>,The boy that the actors liked shot himself .
60,simple,local,c-command,1,b,rc_subj,number,actor,boys,shot,himself,The actor that the boys liked shot himself . <eos>,The actor that the boys liked shot himself .
61,simple,local,c-command,1,a,none,none,boy,husband,saw,himself,The boy that the husband liked saw himself . <eos>,The boy that the husband liked saw himself .
61,simple,local,c-command,1,b,none,none,husband,boy,saw,himself,The husband that the boy liked saw himself . <eos>,The husband that the boy liked saw himself .
61,simple,local,no-c-command,0,a,matrix_subj,number,boys,husband,saw,himself,The boys that the husband liked saw himself . <eos>,The boys that the husband liked saw himself .
61,simple,local,no-c-command,0,b,matrix_subj,number,husbands,boy,saw,himself,The husbands that the boy liked saw himself . <eos>,The husbands that the boy liked saw himself .
61,simple,local,c-command,1,a,rc_subj,number,boy,husbands,saw,himself,The boy that the husbands liked saw himself . <eos>,The boy that the husbands liked saw himself .
61,simple,local,c-command,1,b,rc_subj,number,husband,boys,saw,himself,The husband that the boys liked saw himself . <eos>,The husband that the boys liked saw himself .
62,simple,local,c-command,1,a,none,none,boy,husband,established,himself,The boy that the husband liked established himself . <eos>,The boy that the husband liked established himself .
62,simple,local,c-command,1,b,none,none,husband,boy,established,himself,The husband that the boy liked established himself . <eos>,The husband that the boy liked established himself .
62,simple,local,no-c-command,0,a,matrix_subj,number,boys,husband,established,himself,The boys that the husband liked established himself . <eos>,The boys that the husband liked established himself .
62,simple,local,no-c-command,0,b,matrix_subj,number,husbands,boy,established,himself,The husbands that the boy liked established himself . <eos>,The husbands that the boy liked established himself .
62,simple,local,c-command,1,a,rc_subj,number,boy,husbands,established,himself,The boy that the husbands liked established himself . <eos>,The boy that the husbands liked established himself .
62,simple,local,c-command,1,b,rc_subj,number,husband,boys,established,himself,The husband that the boys liked established himself . <eos>,The husband that the boys liked established himself .
63,simple,local,c-command,1,a,none,none,boy,husband,devoted,himself,The boy that the husband liked devoted himself . <eos>,The boy that the husband liked devoted himself .
63,simple,local,c-command,1,b,none,none,husband,boy,devoted,himself,The husband that the boy liked devoted himself . <eos>,The husband that the boy liked devoted himself .
63,simple,local,no-c-command,0,a,matrix_subj,number,boys,husband,devoted,himself,The boys that the husband liked devoted himself . <eos>,The boys that the husband liked devoted himself .
63,simple,local,no-c-command,0,b,matrix_subj,number,husbands,boy,devoted,himself,The husbands that the boy liked devoted himself . <eos>,The husbands that the boy liked devoted himself .
63,simple,local,c-command,1,a,rc_subj,number,boy,husbands,devoted,himself,The boy that the husbands liked devoted himself . <eos>,The boy that the husbands liked devoted himself .
63,simple,local,c-command,1,b,rc_subj,number,husband,boys,devoted,himself,The husband that the boys liked devoted himself . <eos>,The husband that the boys liked devoted himself .
64,simple,local,c-command,1,a,none,none,boy,husband,considered,himself,The boy that the husband liked considered himself . <eos>,The boy that the husband liked considered himself .
64,simple,local,c-command,1,b,none,none,husband,boy,considered,himself,The husband that the boy liked considered himself . <eos>,The husband that the boy liked considered himself .
64,simple,local,no-c-command,0,a,matrix_subj,number,boys,husband,considered,himself,The boys that the husband liked considered himself . <eos>,The boys that the husband liked considered himself .
64,simple,local,no-c-command,0,b,matrix_subj,number,husbands,boy,considered,himself,The husbands that the boy liked considered himself . <eos>,The husbands that the boy liked considered himself .
64,simple,local,c-command,1,a,rc_subj,number,boy,husbands,considered,himself,The boy that the husbands liked considered himself . <eos>,The boy that the husbands liked considered himself .
64,simple,local,c-command,1,b,rc_subj,number,husband,boys,considered,himself,The husband that the boys liked considered himself . <eos>,The husband that the boys liked considered himself .
65,simple,local,c-command,1,a,none,none,boy,husband,identified,himself,The boy that the husband liked identified himself . <eos>,The boy that the husband liked identified himself .
65,simple,local,c-command,1,b,none,none,husband,boy,identified,himself,The husband that the boy liked identified himself . <eos>,The husband that the boy liked identified himself .
65,simple,local,no-c-command,0,a,matrix_subj,number,boys,husband,identified,himself,The boys that the husband liked identified himself . <eos>,The boys that the husband liked identified himself .
65,simple,local,no-c-command,0,b,matrix_subj,number,husbands,boy,identified,himself,The husbands that the boy liked identified himself . <eos>,The husbands that the boy liked identified himself .
65,simple,local,c-command,1,a,rc_subj,number,boy,husbands,identified,himself,The boy that the husbands liked identified himself . <eos>,The boy that the husbands liked identified himself .
65,simple,local,c-command,1,b,rc_subj,number,husband,boys,identified,himself,The husband that the boys liked identified himself . <eos>,The husband that the boys liked identified himself .
66,simple,local,c-command,1,a,none,none,boy,husband,made,himself,The boy that the husband liked made himself . <eos>,The boy that the husband liked made himself .
66,simple,local,c-command,1,b,none,none,husband,boy,made,himself,The husband that the boy liked made himself . <eos>,The husband that the boy liked made himself .
66,simple,local,no-c-command,0,a,matrix_subj,number,boys,husband,made,himself,The boys that the husband liked made himself . <eos>,The boys that the husband liked made himself .
66,simple,local,no-c-command,0,b,matrix_subj,number,husbands,boy,made,himself,The husbands that the boy liked made himself . <eos>,The husbands that the boy liked made himself .
66,simple,local,c-command,1,a,rc_subj,number,boy,husbands,made,himself,The boy that the husbands liked made himself . <eos>,The boy that the husbands liked made himself .
66,simple,local,c-command,1,b,rc_subj,number,husband,boys,made,himself,The husband that the boys liked made himself . <eos>,The husband that the boys liked made himself .
67,simple,local,c-command,1,a,none,none,boy,husband,found,himself,The boy that the husband liked found himself . <eos>,The boy that the husband liked found himself .
67,simple,local,c-command,1,b,none,none,husband,boy,found,himself,The husband that the boy liked found himself . <eos>,The husband that the boy liked found himself .
67,simple,local,no-c-command,0,a,matrix_subj,number,boys,husband,found,himself,The boys that the husband liked found himself . <eos>,The boys that the husband liked found himself .
67,simple,local,no-c-command,0,b,matrix_subj,number,husbands,boy,found,himself,The husbands that the boy liked found himself . <eos>,The husbands that the boy liked found himself .
67,simple,local,c-command,1,a,rc_subj,number,boy,husbands,found,himself,The boy that the husbands liked found himself . <eos>,The boy that the husbands liked found himself .
67,simple,local,c-command,1,b,rc_subj,number,husband,boys,found,himself,The husband that the boys liked found himself . <eos>,The husband that the boys liked found himself .
68,simple,local,c-command,1,a,none,none,boy,husband,distinguished,himself,The boy that the husband liked distinguished himself . <eos>,The boy that the husband liked distinguished himself .
68,simple,local,c-command,1,b,none,none,husband,boy,distinguished,himself,The husband that the boy liked distinguished himself . <eos>,The husband that the boy liked distinguished himself .
68,simple,local,no-c-command,0,a,matrix_subj,number,boys,husband,distinguished,himself,The boys that the husband liked distinguished himself . <eos>,The boys that the husband liked distinguished himself .
68,simple,local,no-c-command,0,b,matrix_subj,number,husbands,boy,distinguished,himself,The husbands that the boy liked distinguished himself . <eos>,The husbands that the boy liked distinguished himself .
68,simple,local,c-command,1,a,rc_subj,number,boy,husbands,distinguished,himself,The boy that the husbands liked distinguished himself . <eos>,The boy that the husbands liked distinguished himself .
68,simple,local,c-command,1,b,rc_subj,number,husband,boys,distinguished,himself,The husband that the boys liked distinguished himself . <eos>,The husband that the boys liked distinguished himself .
69,simple,local,c-command,1,a,none,none,boy,husband,taught,himself,The boy that the husband liked taught himself . <eos>,The boy that the husband liked taught himself .
69,simple,local,c-command,1,b,none,none,husband,boy,taught,himself,The husband that the boy liked taught himself . <eos>,The husband that the boy liked taught himself .
