item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
38,simple,local,no-c-command,1,b,head,number,women,girl,distinguished,her,The women near the girl distinguished her . <eos>,The women near the girl distinguished her .
38,simple,local,c-command,0,a,distractor,number,girl,women,distinguished,her,The girl near the women distinguished her . <eos>,The girl near the women distinguished her .
38,simple,local,c-command,0,b,distractor,number,woman,girls,distinguished,her,The woman near the girls distinguished her . <eos>,The woman near the girls distinguished her .
39,simple,local,no-c-command,1,a,none,none,girl,woman,taught,her,The girl near the woman taught her . <eos>,The girl near the woman taught her .
39,simple,local,no-c-command,1,b,none,none,woman,girl,taught,her,The woman near the girl taught her . <eos>,The woman near the girl taught her .
39,simple,local,no-c-command,1,a,head,number,girls,woman,taught,her,The girls near the woman taught her . <eos>,The girls near the woman taught her .
39,simple,local,no-c-command,1,b,head,number,women,girl,taught,her,The women near the girl taught her . <eos>,The women near the girl taught her .
39,simple,local,c-command,0,a,distractor,number,girl,women,taught,her,The girl near the women taught her . <eos>,The girl near the women taught her .
39,simple,local,c-command,0,b,distractor,number,woman,girls,taught,her,The woman near the girls taught her . <eos>,The woman near the girls taught her .
40,simple,local,no-c-command,1,a,none,none,girl,woman,killed,her,The girl near the woman killed her . <eos>,The girl near the woman killed her .
40,simple,local,no-c-command,1,b,none,none,woman,girl,killed,her,The woman near the girl killed her . <eos>,The woman near the girl killed her .
40,simple,local,no-c-command,1,a,head,number,girls,woman,killed,her,The girls near the woman killed her . <eos>,The girls near the woman killed her .
40,simple,local,no-c-command,1,b,head,number,women,girl,killed,her,The women near the girl killed her . <eos>,The women near the girl killed her .
40,simple,local,c-command,0,a,distractor,number,girl,women,killed,her,The girl near the women killed her . <eos>,The girl near the women killed her .
40,simple,local,c-command,0,b,distractor,number,woman,girls,killed,her,The woman near the girls killed her . <eos>,The woman near the girls killed her .
41,simple,local,no-c-command,1,a,none,none,girl,woman,called,her,The girl near the woman called her . <eos>,The girl near the woman called her .
41,simple,local,no-c-command,1,b,none,none,woman,girl,called,her,The woman near the girl called her . <eos>,The woman near the girl called her .
41,simple,local,no-c-command,1,a,head,number,girls,woman,called,her,The girls near the woman called her . <eos>,The girls near the woman called her .
41,simple,local,no-c-command,1,b,head,number,women,girl,called,her,The women near the girl called her . <eos>,The women near the girl called her .
41,simple,local,c-command,0,a,distractor,number,girl,women,called,her,The girl near the women called her . <eos>,The girl near the women called her .
41,simple,local,c-command,0,b,distractor,number,woman,girls,called,her,The woman near the girls called her . <eos>,The woman near the girls called her .
42,simple,local,no-c-command,1,a,none,none,girl,woman,dedicated,her,The girl near the woman dedicated her . <eos>,The girl near the woman dedicated her .
42,simple,local,no-c-command,1,b,none,none,woman,girl,dedicated,her,The woman near the girl dedicated her . <eos>,The woman near the girl dedicated her .
42,simple,local,no-c-command,1,a,head,number,girls,woman,dedicated,her,The girls near the woman dedicated her . <eos>,The girls near the woman dedicated her .
42,simple,local,no-c-command,1,b,head,number,women,girl,dedicated,her,The women near the girl dedicated her . <eos>,The women near the girl dedicated her .
42,simple,local,c-command,0,a,distractor,number,girl,women,dedicated,her,The girl near the women dedicated her . <eos>,The girl near the women dedicated her .
42,simple,local,c-command,0,b,distractor,number,woman,girls,dedicated,her,The woman near the girls dedicated her . <eos>,The woman near the girls dedicated her .
43,simple,local,no-c-command,1,a,none,none,girl,woman,declared,her,The girl near the woman declared her . <eos>,The girl near the woman declared her .
43,simple,local,no-c-command,1,b,none,none,woman,girl,declared,her,The woman near the girl declared her . <eos>,The woman near the girl declared her .
43,simple,local,no-c-command,1,a,head,number,girls,woman,declared,her,The girls near the woman declared her . <eos>,The girls near the woman declared her .
43,simple,local,no-c-command,1,b,head,number,women,girl,declared,her,The women near the girl declared her . <eos>,The women near the girl declared her .
43,simple,local,c-command,0,a,distractor,number,girl,women,declared,her,The girl near the women declared her . <eos>,The girl near the women declared her .
43,simple,local,c-command,0,b,distractor,number,woman,girls,declared,her,The woman near the girls declared her . <eos>,The woman near the girls declared her .
44,simple,local,no-c-command,1,a,none,none,girl,woman,proved,her,The girl near the woman proved her . <eos>,The girl near the woman proved her .
44,simple,local,no-c-command,1,b,none,none,woman,girl,proved,her,The woman near the girl proved her . <eos>,The woman near the girl proved her .
44,simple,local,no-c-command,1,a,head,number,girls,woman,proved,her,The girls near the woman proved her . <eos>,The girls near the woman proved her .
44,simple,local,no-c-command,1,b,head,number,women,girl,proved,her,The women near the girl proved her . <eos>,The women near the girl proved her .
44,simple,local,c-command,0,a,distractor,number,girl,women,proved,her,The girl near the women proved her . <eos>,The girl near the women proved her .
44,simple,local,c-command,0,b,distractor,number,woman,girls,proved,her,The woman near the girls proved her . <eos>,The woman near the girls proved her .
45,simple,local,no-c-command,1,a,none,none,girl,woman,shot,her,The girl near the woman shot her . <eos>,The girl near the woman shot her .
45,simple,local,no-c-command,1,b,none,none,woman,girl,shot,her,The woman near the girl shot her . <eos>,The woman near the girl shot her .
45,simple,local,no-c-command,1,a,head,number,girls,woman,shot,her,The girls near the woman shot her . <eos>,The girls near the woman shot her .
45,simple,local,no-c-command,1,b,head,number,women,girl,shot,her,The women near the girl shot her . <eos>,The women near the girl shot her .
45,simple,local,c-command,0,a,distractor,number,girl,women,shot,her,The girl near the women shot her . <eos>,The girl near the women shot her .
45,simple,local,c-command,0,b,distractor,number,woman,girls,shot,her,The woman near the girls shot her . <eos>,The woman near the girls shot her .
46,simple,local,no-c-command,1,a,none,none,girl,wife,saw,her,The girl near the wife saw her . <eos>,The girl near the wife saw her .
46,simple,local,no-c-command,1,b,none,none,wife,girl,saw,her,The wife near the girl saw her . <eos>,The wife near the girl saw her .
46,simple,local,no-c-command,1,a,head,number,girls,wife,saw,her,The girls near the wife saw her . <eos>,The girls near the wife saw her .
46,simple,local,no-c-command,1,b,head,number,wives,girl,saw,her,The wives near the girl saw her . <eos>,The wives near the girl saw her .
46,simple,local,c-command,0,a,distractor,number,girl,wives,saw,her,The girl near the wives saw her . <eos>,The girl near the wives saw her .
46,simple,local,c-command,0,b,distractor,number,wife,girls,saw,her,The wife near the girls saw her . <eos>,The wife near the girls saw her .
47,simple,local,no-c-command,1,a,none,none,girl,wife,established,her,The girl near the wife established her . <eos>,The girl near the wife established her .
47,simple,local,no-c-command,1,b,none,none,wife,girl,established,her,The wife near the girl established her . <eos>,The wife near the girl established her .
47,simple,local,no-c-command,1,a,head,number,girls,wife,established,her,The girls near the wife established her . <eos>,The girls near the wife established her .
47,simple,local,no-c-command,1,b,head,number,wives,girl,established,her,The wives near the girl established her . <eos>,The wives near the girl established her .
47,simple,local,c-command,0,a,distractor,number,girl,wives,established,her,The girl near the wives established her . <eos>,The girl near the wives established her .
47,simple,local,c-command,0,b,distractor,number,wife,girls,established,her,The wife near the girls established her . <eos>,The wife near the girls established her .
48,simple,local,no-c-command,1,a,none,none,girl,wife,devoted,her,The girl near the wife devoted her . <eos>,The girl near the wife devoted her .
48,simple,local,no-c-command,1,b,none,none,wife,girl,devoted,her,The wife near the girl devoted her . <eos>,The wife near the girl devoted her .
48,simple,local,no-c-command,1,a,head,number,girls,wife,devoted,her,The girls near the wife devoted her . <eos>,The girls near the wife devoted her .
48,simple,local,no-c-command,1,b,head,number,wives,girl,devoted,her,The wives near the girl devoted her . <eos>,The wives near the girl devoted her .
48,simple,local,c-command,0,a,distractor,number,girl,wives,devoted,her,The girl near the wives devoted her . <eos>,The girl near the wives devoted her .
48,simple,local,c-command,0,b,distractor,number,wife,girls,devoted,her,The wife near the girls devoted her . <eos>,The wife near the girls devoted her .
49,simple,local,no-c-command,1,a,none,none,girl,wife,considered,her,The girl near the wife considered her . <eos>,The girl near the wife considered her .
49,simple,local,no-c-command,1,b,none,none,wife,girl,considered,her,The wife near the girl considered her . <eos>,The wife near the girl considered her .
49,simple,local,no-c-command,1,a,head,number,girls,wife,considered,her,The girls near the wife considered her . <eos>,The girls near the wife considered her .
49,simple,local,no-c-command,1,b,head,number,wives,girl,considered,her,The wives near the girl considered her . <eos>,The wives near the girl considered her .
49,simple,local,c-command,0,a,distractor,number,girl,wives,considered,her,The girl near the wives considered her . <eos>,The girl near the wives considered her .
49,simple,local,c-command,0,b,distractor,number,wife,girls,considered,her,The wife near the girls considered her . <eos>,The wife near the girls considered her .
50,simple,local,no-c-command,1,a,none,none,girl,wife,identified,her,The girl near the wife identified her . <eos>,The girl near the wife identified her .
50,simple,local,no-c-command,1,b,none,none,wife,girl,identified,her,The wife near the girl identified her . <eos>,The wife near the girl identified her .
50,simple,local,no-c-command,1,a,head,number,girls,wife,identified,her,The girls near the wife identified her . <eos>,The girls near the wife identified her .
50,simple,local,no-c-command,1,b,head,number,wives,girl,identified,her,The wives near the girl identified her . <eos>,The wives near the girl identified her .
50,simple,local,c-command,0,a,distractor,number,girl,wives,identified,her,The girl near the wives identified her . <eos>,The girl near the wives identified her .
50,simple,local,c-command,0,b,distractor,number,wife,girls,identified,her,The wife near the girls identified her . <eos>,The wife near the girls identified her .
51,simple,local,no-c-command,1,a,none,none,girl,wife,made,her,The girl near the wife made her . <eos>,The girl near the wife made her .
51,simple,local,no-c-command,1,b,none,none,wife,girl,made,her,The wife near the girl made her . <eos>,The wife near the girl made her .
51,simple,local,no-c-command,1,a,head,number,girls,wife,made,her,The girls near the wife made her . <eos>,The girls near the wife made her .
51,simple,local,no-c-command,1,b,head,number,wives,girl,made,her,The wives near the girl made her . <eos>,The wives near the girl made her .
51,simple,local,c-command,0,a,distractor,number,girl,wives,made,her,The girl near the wives made her . <eos>,The girl near the wives made her .
51,simple,local,c-command,0,b,distractor,number,wife,girls,made,her,The wife near the girls made her . <eos>,The wife near the girls made her .
52,simple,local,no-c-command,1,a,none,none,girl,wife,found,her,The girl near the wife found her . <eos>,The girl near the wife found her .
52,simple,local,no-c-command,1,b,none,none,wife,girl,found,her,The wife near the girl found her . <eos>,The wife near the girl found her .
52,simple,local,no-c-command,1,a,head,number,girls,wife,found,her,The girls near the wife found her . <eos>,The girls near the wife found her .
52,simple,local,no-c-command,1,b,head,number,wives,girl,found,her,The wives near the girl found her . <eos>,The wives near the girl found her .
52,simple,local,c-command,0,a,distractor,number,girl,wives,found,her,The girl near the wives found her . <eos>,The girl near the wives found her .
52,simple,local,c-command,0,b,distractor,number,wife,girls,found,her,The wife near the girls found her . <eos>,The wife near the girls found her .
53,simple,local,no-c-command,1,a,none,none,girl,wife,distinguished,her,The girl near the wife distinguished her . <eos>,The girl near the wife distinguished her .
53,simple,local,no-c-command,1,b,none,none,wife,girl,distinguished,her,The wife near the girl distinguished her . <eos>,The wife near the girl distinguished her .
53,simple,local,no-c-command,1,a,head,number,girls,wife,distinguished,her,The girls near the wife distinguished her . <eos>,The girls near the wife distinguished her .
53,simple,local,no-c-command,1,b,head,number,wives,girl,distinguished,her,The wives near the girl distinguished her . <eos>,The wives near the girl distinguished her .
53,simple,local,c-command,0,a,distractor,number,girl,wives,distinguished,her,The girl near the wives distinguished her . <eos>,The girl near the wives distinguished her .
53,simple,local,c-command,0,b,distractor,number,wife,girls,distinguished,her,The wife near the girls distinguished her . <eos>,The wife near the girls distinguished her .
54,simple,local,no-c-command,1,a,none,none,girl,wife,taught,her,The girl near the wife taught her . <eos>,The girl near the wife taught her .
54,simple,local,no-c-command,1,b,none,none,wife,girl,taught,her,The wife near the girl taught her . <eos>,The wife near the girl taught her .
54,simple,local,no-c-command,1,a,head,number,girls,wife,taught,her,The girls near the wife taught her . <eos>,The girls near the wife taught her .
54,simple,local,no-c-command,1,b,head,number,wives,girl,taught,her,The wives near the girl taught her . <eos>,The wives near the girl taught her .
54,simple,local,c-command,0,a,distractor,number,girl,wives,taught,her,The girl near the wives taught her . <eos>,The girl near the wives taught her .
54,simple,local,c-command,0,b,distractor,number,wife,girls,taught,her,The wife near the girls taught her . <eos>,The wife near the girls taught her .
55,simple,local,no-c-command,1,a,none,none,girl,wife,killed,her,The girl near the wife killed her . <eos>,The girl near the wife killed her .
55,simple,local,no-c-command,1,b,none,none,wife,girl,killed,her,The wife near the girl killed her . <eos>,The wife near the girl killed her .
55,simple,local,no-c-command,1,a,head,number,girls,wife,killed,her,The girls near the wife killed her . <eos>,The girls near the wife killed her .
55,simple,local,no-c-command,1,b,head,number,wives,girl,killed,her,The wives near the girl killed her . <eos>,The wives near the girl killed her .
55,simple,local,c-command,0,a,distractor,number,girl,wives,killed,her,The girl near the wives killed her . <eos>,The girl near the wives killed her .
55,simple,local,c-command,0,b,distractor,number,wife,girls,killed,her,The wife near the girls killed her . <eos>,The wife near the girls killed her .
56,simple,local,no-c-command,1,a,none,none,girl,wife,called,her,The girl near the wife called her . <eos>,The girl near the wife called her .
56,simple,local,no-c-command,1,b,none,none,wife,girl,called,her,The wife near the girl called her . <eos>,The wife near the girl called her .
56,simple,local,no-c-command,1,a,head,number,girls,wife,called,her,The girls near the wife called her . <eos>,The girls near the wife called her .
56,simple,local,no-c-command,1,b,head,number,wives,girl,called,her,The wives near the girl called her . <eos>,The wives near the girl called her .
56,simple,local,c-command,0,a,distractor,number,girl,wives,called,her,The girl near the wives called her . <eos>,The girl near the wives called her .
56,simple,local,c-command,0,b,distractor,number,wife,girls,called,her,The wife near the girls called her . <eos>,The wife near the girls called her .
57,simple,local,no-c-command,1,a,none,none,girl,wife,dedicated,her,The girl near the wife dedicated her . <eos>,The girl near the wife dedicated her .
57,simple,local,no-c-command,1,b,none,none,wife,girl,dedicated,her,The wife near the girl dedicated her . <eos>,The wife near the girl dedicated her .
57,simple,local,no-c-command,1,a,head,number,girls,wife,dedicated,her,The girls near the wife dedicated her . <eos>,The girls near the wife dedicated her .
57,simple,local,no-c-command,1,b,head,number,wives,girl,dedicated,her,The wives near the girl dedicated her . <eos>,The wives near the girl dedicated her .
57,simple,local,c-command,0,a,distractor,number,girl,wives,dedicated,her,The girl near the wives dedicated her . <eos>,The girl near the wives dedicated her .
57,simple,local,c-command,0,b,distractor,number,wife,girls,dedicated,her,The wife near the girls dedicated her . <eos>,The wife near the girls dedicated her .
58,simple,local,no-c-command,1,a,none,none,girl,wife,declared,her,The girl near the wife declared her . <eos>,The girl near the wife declared her .
58,simple,local,no-c-command,1,b,none,none,wife,girl,declared,her,The wife near the girl declared her . <eos>,The wife near the girl declared her .
58,simple,local,no-c-command,1,a,head,number,girls,wife,declared,her,The girls near the wife declared her . <eos>,The girls near the wife declared her .
58,simple,local,no-c-command,1,b,head,number,wives,girl,declared,her,The wives near the girl declared her . <eos>,The wives near the girl declared her .
58,simple,local,c-command,0,a,distractor,number,girl,wives,declared,her,The girl near the wives declared her . <eos>,The girl near the wives declared her .
58,simple,local,c-command,0,b,distractor,number,wife,girls,declared,her,The wife near the girls declared her . <eos>,The wife near the girls declared her .
59,simple,local,no-c-command,1,a,none,none,girl,wife,proved,her,The girl near the wife proved her . <eos>,The girl near the wife proved her .
59,simple,local,no-c-command,1,b,none,none,wife,girl,proved,her,The wife near the girl proved her . <eos>,The wife near the girl proved her .
59,simple,local,no-c-command,1,a,head,number,girls,wife,proved,her,The girls near the wife proved her . <eos>,The girls near the wife proved her .
59,simple,local,no-c-command,1,b,head,number,wives,girl,proved,her,The wives near the girl proved her . <eos>,The wives near the girl proved her .
59,simple,local,c-command,0,a,distractor,number,girl,wives,proved,her,The girl near the wives proved her . <eos>,The girl near the wives proved her .
59,simple,local,c-command,0,b,distractor,number,wife,girls,proved,her,The wife near the girls proved her . <eos>,The wife near the girls proved her .
60,simple,local,no-c-command,1,a,none,none,girl,wife,shot,her,The girl near the wife shot her . <eos>,The girl near the wife shot her .
60,simple,local,no-c-command,1,b,none,none,wife,girl,shot,her,The wife near the girl shot her . <eos>,The wife near the girl shot her .
60,simple,local,no-c-command,1,a,head,number,girls,wife,shot,her,The girls near the wife shot her . <eos>,The girls near the wife shot her .
60,simple,local,no-c-command,1,b,head,number,wives,girl,shot,her,The wives near the girl shot her . <eos>,The wives near the girl shot her .
60,simple,local,c-command,0,a,distractor,number,girl,wives,shot,her,The girl near the wives shot her . <eos>,The girl near the wives shot her .
60,simple,local,c-command,0,b,distractor,number,wife,girls,shot,her,The wife near the girls shot her . <eos>,The wife near the girls shot her .
61,simple,local,no-c-command,1,a,none,none,girl,wife,saw,her,The girl near the wife saw her . <eos>,The girl near the wife saw her .
61,simple,local,no-c-command,1,b,none,none,wife,girl,saw,her,The wife near the girl saw her . <eos>,The wife near the girl saw her .
61,simple,local,no-c-command,1,a,head,number,girls,wife,saw,her,The girls near the wife saw her . <eos>,The girls near the wife saw her .
61,simple,local,no-c-command,1,b,head,number,wives,girl,saw,her,The wives near the girl saw her . <eos>,The wives near the girl saw her .
61,simple,local,c-command,0,a,distractor,number,girl,wives,saw,her,The girl near the wives saw her . <eos>,The girl near the wives saw her .
61,simple,local,c-command,0,b,distractor,number,wife,girls,saw,her,The wife near the girls saw her . <eos>,The wife near the girls saw her .
62,simple,local,no-c-command,1,a,none,none,girl,wife,established,her,The girl near the wife established her . <eos>,The girl near the wife established her .
62,simple,local,no-c-command,1,b,none,none,wife,girl,established,her,The wife near the girl established her . <eos>,The wife near the girl established her .
62,simple,local,no-c-command,1,a,head,number,girls,wife,established,her,The girls near the wife established her . <eos>,The girls near the wife established her .
62,simple,local,no-c-command,1,b,head,number,wives,girl,established,her,The wives near the girl established her . <eos>,The wives near the girl established her .
62,simple,local,c-command,0,a,distractor,number,girl,wives,established,her,The girl near the wives established her . <eos>,The girl near the wives established her .
62,simple,local,c-command,0,b,distractor,number,wife,girls,established,her,The wife near the girls established her . <eos>,The wife near the girls established her .
63,simple,local,no-c-command,1,a,none,none,girl,wife,devoted,her,The girl near the wife devoted her . <eos>,The girl near the wife devoted her .
63,simple,local,no-c-command,1,b,none,none,wife,girl,devoted,her,The wife near the girl devoted her . <eos>,The wife near the girl devoted her .
63,simple,local,no-c-command,1,a,head,number,girls,wife,devoted,her,The girls near the wife devoted her . <eos>,The girls near the wife devoted her .
63,simple,local,no-c-command,1,b,head,number,wives,girl,devoted,her,The wives near the girl devoted her . <eos>,The wives near the girl devoted her .
63,simple,local,c-command,0,a,distractor,number,girl,wives,devoted,her,The girl near the wives devoted her . <eos>,The girl near the wives devoted her .
63,simple,local,c-command,0,b,distractor,number,wife,girls,devoted,her,The wife near the girls devoted her . <eos>,The wife near the girls devoted her .
64,simple,local,no-c-command,1,a,none,none,girl,wife,considered,her,The girl near the wife considered her . <eos>,The girl near the wife considered her .
64,simple,local,no-c-command,1,b,none,none,wife,girl,considered,her,The wife near the girl considered her . <eos>,The wife near the girl considered her .
64,simple,local,no-c-command,1,a,head,number,girls,wife,considered,her,The girls near the wife considered her . <eos>,The girls near the wife considered her .
64,simple,local,no-c-command,1,b,head,number,wives,girl,considered,her,The wives near the girl considered her . <eos>,The wives near the girl considered her .
64,simple,local,c-command,0,a,distractor,number,girl,wives,considered,her,The girl near the wives considered her . <eos>,The girl near the wives considered her .
64,simple,local,c-command,0,b,distractor,number,wife,girls,considered,her,The wife near the girls considered her . <eos>,The wife near the girls considered her .
65,simple,local,no-c-command,1,a,none,none,girl,wife,identified,her,The girl near the wife identified her . <eos>,The girl near the wife identified her .
65,simple,local,no-c-command,1,b,none,none,wife,girl,identified,her,The wife near the girl identified her . <eos>,The wife near the girl identified her .
65,simple,local,no-c-command,1,a,head,number,girls,wife,identified,her,The girls near the wife identified her . <eos>,The girls near the wife identified her .
65,simple,local,no-c-command,1,b,head,number,wives,girl,identified,her,The wives near the girl identified her . <eos>,The wives near the girl identified her .
65,simple,local,c-command,0,a,distractor,number,girl,wives,identified,her,The girl near the wives identified her . <eos>,The girl near the wives identified her .
65,simple,local,c-command,0,b,distractor,number,wife,girls,identified,her,The wife near the girls identified her . <eos>,The wife near the girls identified her .
66,simple,local,no-c-command,1,a,none,none,girl,wife,made,her,The girl near the wife made her . <eos>,The girl near the wife made her .
66,simple,local,no-c-command,1,b,none,none,wife,girl,made,her,The wife near the girl made her . <eos>,The wife near the girl made her .
66,simple,local,no-c-command,1,a,head,number,girls,wife,made,her,The girls near the wife made her . <eos>,The girls near the wife made her .
66,simple,local,no-c-command,1,b,head,number,wives,girl,made,her,The wives near the girl made her . <eos>,The wives near the girl made her .
66,simple,local,c-command,0,a,distractor,number,girl,wives,made,her,The girl near the wives made her . <eos>,The girl near the wives made her .
66,simple,local,c-command,0,b,distractor,number,wife,girls,made,her,The wife near the girls made her . <eos>,The wife near the girls made her .
67,simple,local,no-c-command,1,a,none,none,girl,wife,found,her,The girl near the wife found her . <eos>,The girl near the wife found her .
67,simple,local,no-c-command,1,b,none,none,wife,girl,found,her,The wife near the girl found her . <eos>,The wife near the girl found her .
67,simple,local,no-c-command,1,a,head,number,girls,wife,found,her,The girls near the wife found her . <eos>,The girls near the wife found her .
67,simple,local,no-c-command,1,b,head,number,wives,girl,found,her,The wives near the girl found her . <eos>,The wives near the girl found her .
67,simple,local,c-command,0,a,distractor,number,girl,wives,found,her,The girl near the wives found her . <eos>,The girl near the wives found her .
67,simple,local,c-command,0,b,distractor,number,wife,girls,found,her,The wife near the girls found her . <eos>,The wife near the girls found her .
68,simple,local,no-c-command,1,a,none,none,girl,wife,distinguished,her,The girl near the wife distinguished her . <eos>,The girl near the wife distinguished her .
68,simple,local,no-c-command,1,b,none,none,wife,girl,distinguished,her,The wife near the girl distinguished her . <eos>,The wife near the girl distinguished her .
68,simple,local,no-c-command,1,a,head,number,girls,wife,distinguished,her,The girls near the wife distinguished her . <eos>,The girls near the wife distinguished her .
68,simple,local,no-c-command,1,b,head,number,wives,girl,distinguished,her,The wives near the girl distinguished her . <eos>,The wives near the girl distinguished her .
68,simple,local,c-command,0,a,distractor,number,girl,wives,distinguished,her,The girl near the wives distinguished her . <eos>,The girl near the wives distinguished her .
68,simple,local,c-command,0,b,distractor,number,wife,girls,distinguished,her,The wife near the girls distinguished her . <eos>,The wife near the girls distinguished her .
69,simple,local,no-c-command,1,a,none,none,girl,wife,taught,her,The girl near the wife taught her . <eos>,The girl near the wife taught her .
69,simple,local,no-c-command,1,b,none,none,wife,girl,taught,her,The wife near the girl taught her . <eos>,The wife near the girl taught her .
69,simple,local,no-c-command,1,a,head,number,girls,wife,taught,her,The girls near the wife taught her . <eos>,The girls near the wife taught her .
69,simple,local,no-c-command,1,b,head,number,wives,girl,taught,her,The wives near the girl taught her . <eos>,The wives near the girl taught her .
69,simple,local,c-command,0,a,distractor,number,girl,wives,taught,her,The girl near the wives taught her . <eos>,The girl near the wives taught her .
69,simple,local,c-command,0,b,distractor,number,wife,girls,taught,her,The wife near the girls taught her . <eos>,The wife near the girls taught her .
70,simple,local,no-c-command,1,a,none,none,girl,wife,killed,her,The girl near the wife killed her . <eos>,The girl near the wife killed her .
70,simple,local,no-c-command,1,b,none,none,wife,girl,killed,her,The wife near the girl killed her . <eos>,The wife near the girl killed her .
70,simple,local,no-c-command,1,a,head,number,girls,wife,killed,her,The girls near the wife killed her . <eos>,The girls near the wife killed her .
70,simple,local,no-c-command,1,b,head,number,wives,girl,killed,her,The wives near the girl killed her . <eos>,The wives near the girl killed her .
70,simple,local,c-command,0,a,distractor,number,girl,wives,killed,her,The girl near the wives killed her . <eos>,The girl near the wives killed her .
70,simple,local,c-command,0,b,distractor,number,wife,girls,killed,her,The wife near the girls killed her . <eos>,The wife near the girls killed her .
71,simple,local,no-c-command,1,a,none,none,girl,wife,called,her,The girl near the wife called her . <eos>,The girl near the wife called her .
71,simple,local,no-c-command,1,b,none,none,wife,girl,called,her,The wife near the girl called her . <eos>,The wife near the girl called her .
71,simple,local,no-c-command,1,a,head,number,girls,wife,called,her,The girls near the wife called her . <eos>,The girls near the wife called her .
71,simple,local,no-c-command,1,b,head,number,wives,girl,called,her,The wives near the girl called her . <eos>,The wives near the girl called her .
71,simple,local,c-command,0,a,distractor,number,girl,wives,called,her,The girl near the wives called her . <eos>,The girl near the wives called her .
71,simple,local,c-command,0,b,distractor,number,wife,girls,called,her,The wife near the girls called her . <eos>,The wife near the girls called her .
72,simple,local,no-c-command,1,a,none,none,girl,wife,dedicated,her,The girl near the wife dedicated her . <eos>,The girl near the wife dedicated her .
72,simple,local,no-c-command,1,b,none,none,wife,girl,dedicated,her,The wife near the girl dedicated her . <eos>,The wife near the girl dedicated her .
72,simple,local,no-c-command,1,a,head,number,girls,wife,dedicated,her,The girls near the wife dedicated her . <eos>,The girls near the wife dedicated her .
72,simple,local,no-c-command,1,b,head,number,wives,girl,dedicated,her,The wives near the girl dedicated her . <eos>,The wives near the girl dedicated her .
72,simple,local,c-command,0,a,distractor,number,girl,wives,dedicated,her,The girl near the wives dedicated her . <eos>,The girl near the wives dedicated her .
72,simple,local,c-command,0,b,distractor,number,wife,girls,dedicated,her,The wife near the girls dedicated her . <eos>,The wife near the girls dedicated her .
73,simple,local,no-c-command,1,a,none,none,girl,wife,declared,her,The girl near the wife declared her . <eos>,The girl near the wife declared her .
73,simple,local,no-c-command,1,b,none,none,wife,girl,declared,her,The wife near the girl declared her . <eos>,The wife near the girl declared her .
73,simple,local,no-c-command,1,a,head,number,girls,wife,declared,her,The girls near the wife declared her . <eos>,The girls near the wife declared her .
73,simple,local,no-c-command,1,b,head,number,wives,girl,declared,her,The wives near the girl declared her . <eos>,The wives near the girl declared her .
73,simple,local,c-command,0,a,distractor,number,girl,wives,declared,her,The girl near the wives declared her . <eos>,The girl near the wives declared her .
73,simple,local,c-command,0,b,distractor,number,wife,girls,declared,her,The wife near the girls declared her . <eos>,The wife near the girls declared her .
74,simple,local,no-c-command,1,a,none,none,girl,wife,proved,her,The girl near the wife proved her . <eos>,The girl near the wife proved her .
74,simple,local,no-c-command,1,b,none,none,wife,girl,proved,her,The wife near the girl proved her . <eos>,The wife near the girl proved her .
74,simple,local,no-c-command,1,a,head,number,girls,wife,proved,her,The girls near the wife proved her . <eos>,The girls near the wife proved her .
74,simple,local,no-c-command,1,b,head,number,wives,girl,proved,her,The wives near the girl proved her . <eos>,The wives near the girl proved her .
74,simple,local,c-command,0,a,distractor,number,girl,wives,proved,her,The girl near the wives proved her . <eos>,The girl near the wives proved her .
74,simple,local,c-command,0,b,distractor,number,wife,girls,proved,her,The wife near the girls proved her . <eos>,The wife near the girls proved her .
75,simple,local,no-c-command,1,a,none,none,girl,wife,shot,her,The girl near the wife shot her . <eos>,The girl near the wife shot her .
75,simple,local,no-c-command,1,b,none,none,wife,girl,shot,her,The wife near the girl shot her . <eos>,The wife near the girl shot her .
75,simple,local,no-c-command,1,a,head,number,girls,wife,shot,her,The girls near the wife shot her . <eos>,The girls near the wife shot her .
75,simple,local,no-c-command,1,b,head,number,wives,girl,shot,her,The wives near the girl shot her . <eos>,The wives near the girl shot her .
75,simple,local,c-command,0,a,distractor,number,girl,wives,shot,her,The girl near the wives shot her . <eos>,The girl near the wives shot her .
75,simple,local,c-command,0,b,distractor,number,wife,girls,shot,her,The wife near the girls shot her . <eos>,The wife near the girls shot her .
