item,clause_type,locality,c-command,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,pronoun,sentence,sentence_no_eos
29,simple,local,c-command,1,none,none,none,none,sons,men,behaved,themselves,The sons near the men behaved themselves . <eos>,The sons near the men behaved themselves .
29,simple,local,c-command,1,none,number,distractor,number,sons,man,behaved,themselves,The sons near the man behaved themselves . <eos>,The sons near the man behaved themselves .
29,simple,local,c-command,1,none,gender,distractor,gender,sons,women,behaved,themselves,The sons near the women behaved themselves . <eos>,The sons near the women behaved themselves .
29,simple,local,c-command,1,none,both,distractor,both,sons,woman,behaved,themselves,The sons near the woman behaved themselves . <eos>,The sons near the woman behaved themselves .
29,simple,local,no-c-command,0,number,none,head,number,man,sons,behaved,themselves,The man near the sons behaved themselves . <eos>,The man near the sons behaved themselves .
29,simple,local,no-c-command,1,gender,none,head,gender,women,sons,behaved,themselves,The women near the sons behaved themselves . <eos>,The women near the sons behaved themselves .
29,simple,local,no-c-command,0,both,none,head,both,woman,sons,behaved,themselves,The woman near the sons behaved themselves . <eos>,The woman near the sons behaved themselves .
30,simple,local,c-command,1,none,none,none,none,husbands,men,confused,themselves,The husbands near the men confused themselves . <eos>,The husbands near the men confused themselves .
30,simple,local,c-command,1,none,number,distractor,number,husbands,man,confused,themselves,The husbands near the man confused themselves . <eos>,The husbands near the man confused themselves .
30,simple,local,c-command,1,none,gender,distractor,gender,husbands,women,confused,themselves,The husbands near the women confused themselves . <eos>,The husbands near the women confused themselves .
30,simple,local,c-command,1,none,both,distractor,both,husbands,woman,confused,themselves,The husbands near the woman confused themselves . <eos>,The husbands near the woman confused themselves .
30,simple,local,no-c-command,0,number,none,head,number,man,husbands,confused,themselves,The man near the husbands confused themselves . <eos>,The man near the husbands confused themselves .
30,simple,local,no-c-command,1,gender,none,head,gender,women,husbands,confused,themselves,The women near the husbands confused themselves . <eos>,The women near the husbands confused themselves .
30,simple,local,no-c-command,0,both,none,head,both,woman,husbands,confused,themselves,The woman near the husbands confused themselves . <eos>,The woman near the husbands confused themselves .
